"dev","details","dev_no"
"显示器","24寸, 1080P, AOC",
"机箱","400w i5-7500 B150M","2017xxcs01"
"固态硬盘","100G xxx",
"机械硬盘","1T",
"显卡","七彩虹 1060 3G","2017xxgc01"
"内存","2400M, 8G",
"内存","2400M, 8G",

