"dev","details","dev_no"
"显示器","1920x1080,aoc","202104sc05"
"机箱","DELL","Percision tower 5810"
"显卡","k2200","2016xxgcxx"
"内存","2133M,8G，xxx",
"内存","2133M,8G，xxx",

