dev,details,dev_no
显示器,"1920×1080,AOC",24B10W1G5
显示器,"1920×1080,AOC ",
机箱,"1250W,9700,Z390",
固态硬盘,WD SN750 500G M.2 WD 1T蓝盘,
显卡,3060,
内存,"2666Mhz,16G,金士顿",
机械键盘,"AOC,KM160",建账号整机2109180112
