"dev","details","dev_no"
"显示器","1920×1080,AOC","202104sc01"
"显示器","1920×1080,AOC ",
"机箱","1250W,9700,Z390","202007cs03"
"固态硬盘","WDS 500G",
"显卡","2080ti","202007gc03"
"显卡","3080","202012gc03"
"内存","2933Mhz,16G,海盗船",
"内存","2933Mhz,16G,海盗船",
